Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,PLLs and CCCs,Chip Globals,MSS,CAN,HS USB,Multi-Mode UART,RCOSC_50MHZ
CORESPI_C0_0/CORESPI_C0_0/USPI/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/Primitives,170,132,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C0_0/CORESPI_C0_0/USPI/UCON/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C0_0/CORESPI_C0_0/USPI/URF/Primitives,87,43,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/Primitives,40,14,36,36,0,1,0,0,0,0,0,0,0
CORESPI_C0_0/CORESPI_C0_0/USPI/UTXF/Primitives,43,14,36,36,0,1,0,0,0,0,0,0,0
CORESPI_C1_0/CORESPI_C1_0/USPI/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/Primitives,169,132,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C1_0/CORESPI_C1_0/USPI/UCON/Primitives,3,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C1_0/CORESPI_C1_0/USPI/URF/Primitives,88,43,0,0,0,0,0,0,0,0,0,0,0
CORESPI_C1_0/CORESPI_C1_0/USPI/URXF/Primitives,41,14,36,36,0,1,0,0,0,0,0,0,0
CORESPI_C1_0/CORESPI_C1_0/USPI/UTXF/Primitives,44,14,36,36,0,1,0,0,0,0,0,0,0
CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/Primitives,24,0,0,0,0,0,0,0,0,0,0,0,0
CoreResetP_C0_0/CoreResetP_C0_0/Primitives,2,9,0,0,0,0,0,1,0,0,0,0,0
FCCC_C0_0/FCCC_C0_0/Primitives,0,0,0,0,0,0,1,1,0,0,0,0,0
MSS_C0_MSS_0/Primitives,4,0,0,0,4,0,0,0,1,0,0,0,0
OSC_C0_0/OSC_C0_0/Primitives,0,0,0,0,0,0,0,0,0,0,0,0,1
Primitives/Primitives,2,0,0,0,20,0,0,0,0,0,0,0,0
