
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. MSS_C0, 415, 661, 66, 0, 0, 0, 4, 2, 24
.	. CORESPI_C0, 203, 324, 26, 0, 0, 0, 2, 0, 0
.	.	. CORESPI_Z4, 203, 324, 26, 0, 0, 0, 2, 0, 0
.	.	.	. spi_8s_8s_8s_255s_0_0_1_0s_1, 203, 324, 26, 0, 0, 0, 2, 0, 0
.	.	.	.	. spi_chanctrl_Z3_1, 132, 157, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_control_8s, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_fifo_8s_8s_3_0_1, 14, 34, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_fifo_8s_8s_3_1, 14, 37, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_rf_8s_255s_0_1, 43, 87, 0, 0, 0, 0, 0, 0, 0
.	. CORESPI_C1, 203, 321, 26, 0, 0, 0, 2, 0, 0
.	.	. CORESPI_Z4_0, 203, 321, 26, 0, 0, 0, 2, 0, 0
.	.	.	. spi_8s_8s_8s_255s_0_0_1_0s_1_0, 203, 321, 26, 0, 0, 0, 2, 0, 0
.	.	.	.	. spi_chanctrl_Z3_1_0, 132, 156, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. spi_clockmux_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_control_8s_0, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_fifo_8s_8s_3_0_1_0, 14, 35, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_fifo_8s_8s_3_1_0, 14, 38, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_rf_8s_255s_0_1_0, 43, 88, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_C0, 0, 10, 14, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z1, 0, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 10, 14, 0, 0, 0, 0, 0, 0
.	. CoreResetP_C0, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. CoreResetP_Z2, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	. FCCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. FCCC_C0_FCCC_C0_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. MSS_C0_MSS, 0, 4, 0, 0, 0, 0, 0, 0, 4
.	. OSC_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSC_C0_OSC_C0_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
