
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. cdh_tsat5_system_sb, 234, 330, 36, 0, 0, 0, 2, 4, 34
.	. CORESPI_Z4, 205, 321, 36, 0, 0, 0, 2, 0, 0
.	.	. spi_8s_8s_8s_255s_0_0_1_0s, 205, 321, 36, 0, 0, 0, 2, 0, 0
.	.	.	. spi_chanctrl_Z3, 134, 151, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_control_8s, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_fifo_8s_8s_3_0, 14, 35, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_fifo_8s_8s_3_1, 14, 51, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_rf_8s_255s_0, 43, 67, 10, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_Z1, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreResetP_Z2, 29, 7, 0, 0, 0, 0, 0, 2, 0
.	. cdh_tsat5_system_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. cdh_tsat5_system_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. cdh_tsat5_system_sb_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
